SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,SAFE_DISTANCE
41,DC:A6:32:2C:42:BC,2020-07-14 20:01:47.037255,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-54,0
42,DC:A6:32:2C:42:BC,2020-07-14 20:01:49.012205,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-66,0
43,DC:A6:32:2C:42:BC,2020-07-14 20:01:50.297234,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-70,0
44,DC:A6:32:2C:42:BC,2020-07-14 20:01:51.059727,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-63,0
45,DC:A6:32:2C:42:BC,2020-07-14 20:01:52.098407,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-67,0
46,DC:A6:32:2C:42:BC,2020-07-14 20:01:53.363426,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-58,0
47,DC:A6:32:2C:42:BC,2020-07-14 20:01:54.162183,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-52,0
48,DC:A6:32:2C:42:BC,2020-07-14 20:01:55.183400,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-56,0
49,DC:A6:32:2C:42:BC,2020-07-14 20:01:57.188455,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-56,0
50,DC:A6:32:2C:42:BC,2020-07-14 20:01:58.494648,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-65,0
51,DC:A6:32:2C:42:BC,2020-07-14 20:01:59.012124,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-64,0
52,DC:A6:32:2C:42:BC,2020-07-14 20:02:00.595872,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-67,0
53,DC:A6:32:2C:42:BC,2020-07-14 20:02:01.373471,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-68,0
54,DC:A6:32:2C:42:BC,2020-07-14 20:02:03.374775,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-63,0
55,DC:A6:32:2C:42:BC,2020-07-14 20:02:04.193434,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-65,0
56,DC:A6:32:2C:42:BC,2020-07-14 20:02:05.377172,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-63,0
57,DC:A6:32:2C:42:BC,2020-07-14 20:02:07.377161,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-59,0
58,DC:A6:32:2C:42:BC,2020-07-14 20:02:08.024643,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-57,0
59,DC:A6:32:2C:42:BC,2020-07-14 20:02:09.121765,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-59,0
60,DC:A6:32:2C:42:BC,2020-07-14 20:02:10.443420,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-72,0
61,DC:A6:32:2C:42:BC,2020-07-14 20:02:11.028996,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-63,0
